,heading,content,extract_tag,len_cut_heading,len_cut_content,labels
1541,剛果（布）黑角港鉀肥碼頭項目水文泥沙測驗和地形測量,剛果（布）黑角港鉀肥碼頭項目水文泥沙測驗和地形測量. 2012年－2012年. 剛果（布）位於非洲中西部，測區位於剛果（布）西部沿海的南端，瀕臨大西洋的東側，在最大的海港黑角港附近。經加拿大MAG  中國交通建設集團有限公司,剛果 黑角 港鉀 肥碼頭 項目 測驗 測量 水文 泥沙 地形 剛果 黑角 2012 港鉀 肥碼頭 項目 測驗 測量 測區位 瀕臨 東側 MAG 中國 建設 集團 海港 南端 水文 中西部 泥沙 大西洋 加拿大 地形 非洲 沿海 交通 西部 有限公司 附近 最大,10.0,30.0,0
1542,外事委員會召開齣訪美國、牙買加和古巴代錶團全團會_中國人大網,2016年 - 同時，會議還聽取瞭中國銀行、中國交通建設股份有限公司、中國成套設備進齣口總公司和北京控股集團有限公司有關部門負責人的相關情況介紹。,委員會 召開 訪美國 牙買加 團全 團會 中國 外事 古巴 人大 中國 2016 同時 會議 還聽取 瞭中國 銀行 建設 設備 集團 關部門 負責人 相關 情況 介紹 有限公司 成套 控股 交通 股份 北京 公司,10.0,22.0,0
1543,中資企業參與的海外火電項目，您關注瞭嗎？_中國擬在建項目網,"2017年 - 科特迪瓦, 科特迪瓦Starenergie公司鬆貢燃氣聯閤循環發電項目, 項目申報  中國交通建設股份有限公司中國能源建設集團有限公司, 巴基斯坦, 中國",中資 企業 火電 項目 關注 中國擬 項目網 在建 海外 中國 建設 科特迪瓦 2017 Starenergie 項目 申報 集團 有限公司 巴基斯坦 能源 交通 股份 公司,9.0,14.0,0
1544,媒體之聲 - 中國路橋,2018年 - 緬甸建設部技術專傢和媒體記者共25人近日到中國雲南和貴州，對這兩個省的部分大型橋梁進行瞭參觀考察，並赴位於北京的中國路橋公司總部,媒體 之聲 中國路橋 2018 緬甸建 設部 技術專 媒體 記者 25 中國雲南 貴州 這兩個 橋梁 進行 參觀 並赴位 中國路橋 總部 考察 近日 大型 北京 部分 公司,3.0,22.0,0
1545,中國交通報：融閤·共贏——聚焦中國交通企業“走齣去”之故事- 行業- 中國 ,他們說著不同的語言，骨子裏卻同樣是對優質工程的篤定。 在伊拉剋.  修路架橋、交流文化，經過幾十年的風風雨雨，中國交通建設企業在亞非歐等眾多國傢繪齣,中國 共贏 企業 行業 交通 聚焦 故事 他們 語言 同樣 優質 篤定 架橋 經過 風風雨雨 中國 建設 企業 亞非 歐等眾 多國 骨子 伊拉 修路 交流 十年 交通 工程 文化 不同,7.0,23.0,0
1546,中交成功收購澳建築巨頭John Holland_-CGG中國走齣去-智庫,"2015年 - 據澳貿委消息，中國交通建設股份有限公司（China Communications Construction Company, CCCC，下稱中交集團）以11.5億澳元價格",中交 收購 澳建築 巨頭 John Holland _- CGG 中國 智庫 成功 2015 澳貿委 中國 建設 China Communications Construction Company CCCC 下稱 11.5 價格 交集 澳元 交通 有限公司 消息 股份,11.0,18.0,0
1547,交通文獻信息推送中心,2016年 -  司副司長陳盈輝，中國交通建設集團有限公司副總裁孫子宇，中國路橋工程  戴東昌在緻辭中錶示，肯尼亞是中非産能閤作的先行先試國傢，中國,文獻 推送 交通 信息 中心 中國 肯尼 2016 司副司 盈輝 建設 集團 總裁 孫子宇 中國路橋 戴東昌 亞是 先試國 中非 先行 交通 工程 有限公司,5.0,18.0,0
1548,濛內鐵路成為展示中非閤作“新窗口” - 海灣資訊網-gulfinfo.ae - 中東資訊 ,2016年 - 濛內鐵路成為展示中非閤作“新窗口”  由中國進齣口銀行提供信用貸款，由中國交通建設股份有限公司所屬中國路橋工程有限責任公司承建。,新窗口 內鐵路 成為 閤作 海灣 資訊網 gulfinfo ae 中東 資訊 中非 展示 新窗口 2016 內鐵路 成為 閤作 中國進 銀行 貸款 中國 建設 所屬 中國路橋 責任 承建 中非 展示 信用 有限 交通 工程 有限公司 股份 提供 公司,12.0,24.0,37
1549,基建融資促進辦公室- 閤作夥伴,中國交通建設股份有限公司. China Construction Bank (AA Corporation. 中國建設銀行  中國長江三峽集團公司. China-Africa Development Fund. 中非發展基金.,融資促 進辦 作夥伴 公室 基建 中國 建設 China Construction Bank AA Corporation 銀行 中國長 江三峽 集團 Africa Development Fund 發展 中非 交通 有限公司 股份 基金 公司,5.0,21.0,0
1550,"[中交四航]射吸式抽沙船,用於科特迪瓦碼頭施工 - 抽沙泵",2015年 - 客戶施工地在非洲科特迪瓦，購買的射吸抽沙船用於清理泊位及碼頭後方  中交第四航務工程局有限公司）始創於1951年，為中國交通建設股份有限,中交四航 射吸式 碼頭 抽沙泵 沙船 科特迪瓦 施工 股份有限 2015 客戶 購買 射吸 及碼 頭後方 中交 航務 始創 1951 中國 建設 沙船 工程局 科特迪瓦 泊位 清理 施工 第四 非洲 交通 有限公司,7.0,23.0,3
1551,昨夜今晨的大事：朝鮮迴應特朗普取消“特金會” 美通過法案鼓勵“美颱軍事 ,"2018年 - 當地時間23日,加拿大聯邦政府以“國傢安全”為由,阻止中國交通建設集團子公司收購加拿大最大建築公司阿肯集團價值15億加元的交易。加拿大聯邦",特朗普 朝鮮 特金會 鼓勵 軍事 美通 今晨 法案 昨夜 取消 大事 集團 加拿大 2018 當地 時間 23 中國 建設 收購 建築 價值 15 聯邦 邦政府 阿肯 加元 阻止 子公司 交通 安全 交易 最大 公司,11.0,23.0,13
1552,中阿網-中國阿拉伯交流協會訪問敘利亞情況介紹會在京舉行,2017年 - 敘利亞多位部長紛紛錶示，中國、俄羅斯和伊朗在重建方麵有優先權。  中國交通建設集團、中國大唐集團、中國港灣工程有限責任公司、中國葛洲壩,中阿網 中國 協會 訪問 敘利亞 情況 介紹會 舉行 阿拉伯 交流 中國 集團 2017 敘利亞 部長 紛紛 俄羅斯 優先權 建設 港灣 責任 中國葛洲 大唐 多位 伊朗 重建 有限 交通 工程 公司,10.0,20.0,4
1553,緬甸沙龍國際娛樂【www.sl9898.com】撥打:15894452655,2018年 - 【聲明】 ：轉載《中國公路》《中國交通信息化》《中國昂速公路》《中國交通建設監理》稿件須經書麵授權。索取授權書QQ: 6673744 。 “現在咱們國傢有護士,緬甸 沙龍國際 娛樂 www sl9898 com 15894452655 中國 授權 公路 2018 聲明 轉載 昂速 建設 監理 須經書 QQ 6673744 現在 咱們國 有護士 交通 稿件 索取 信息化,7.0,19.0,21
1554,中國承建肯尼亞濛內鐵路正式通車- 國際- 新京報網,2017年 - 作為中非閤作、“一帶一路”建設的重點項目，濛內鐵路是肯尼亞  項目由中國交通建設股份有限公司所屬中國路橋承建，全部采用中國標準、裝備、,肯尼 中國 亞濛 內鐵路 通車 國際 新京 報網 承建 正式 建設 項目 中國 肯尼 2017 作為 閤作 一帶 重點 內鐵路 所屬 中國路橋 標準 裝備 承建 中非 一路 交通 有限公司 采用 全部 股份,10.0,22.0,37
1555,《萊基信風》第32期 - 萊基自貿區,2017年 - 中非萊基參加安慶市與跨國公司（北京）經貿閤作. 懇談會  究院、南開大學、國傢電網公司、中國交通建設集團、中國華油集團公司、中非萊基投.,萊基 信風 32 自貿區 萊基 集團 中非 2017 參加安慶市 跨國 經貿 懇談會 究院 南開 大學 電網 中國 建設 中國華油 公司 交通 北京,4.0,18.0,0
1556,中交第一公路工程局有限公司海外分公司 - 海威時代 - 新東方,2017年 -  工程局有限公司，其總公司中國交通建設股份有限公司係世界500強企業。  近50年的海外發展曆程，施工足跡遍及濛古、伊拉剋、布隆迪、也門、,中交 海威 時代 新東方 工程局 分公司 公路 海外 有限公司 第一 2017 中國 建設 500 強企業 50 發展 足跡 也門 伊拉 有限公司 工程局 布隆迪 遍及 施工 交通 海外 股份 世界 公司,10.0,20.0,3
1557,中國太平-半月談︱品牌榜,2018年 -  新加坡、印度尼西亞、緬甸、柬埔寨、越南、伊朗、伊拉剋、沙特阿拉伯、  等中方投資項目，中國交通建設集團承建的棉蘭高速項目、中國路橋承建,中國 半月 太平 品牌 項目 承建 尼西 2018 緬甸 投資 中國 建設 集團 棉蘭 中國路橋 伊拉 沙特阿拉伯 柬埔寨 中方 伊朗 越南 新加坡 高速 交通 印度,4.0,21.0,0
1558,馬來西亞中止新馬高鐵項目中鐵總未收正式通知- 中經實時報- 中國經營 ,2018年 - SH ）、中國交通建設股份有限公司（以下簡稱“中國交建”， 601800.  2011年，原鐵道部、中國中鐵與伊朗政府簽署瞭建設德黑蘭-庫姆-伊斯法罕高速,西亞 新馬 高鐵項 中經 實時 中國 經營 未收 目中 中止 通知 正式 中國 伊朗政府 2018 SH 建設 簡稱 交建 601800 2011 原鐵道部 中鐵 簽署 瞭建 設德 黑蘭 庫姆 伊斯法罕 高速 交通 有限公司 以下 股份,12.0,22.0,0
1559,中交天和副總經理周駿一行前往伊朗德黑蘭北方高速項目拜訪交流-公司 ,2016年 - ，應中國路橋伊朗辦的邀請，公司副總經理周駿一行前往伊朗德黑蘭北方高速二期TBM項目拜訪交流。 在中國路橋伊朗辦工作人員的陪同下，,中交天 總經理 周駿 德黑蘭 項目 拜訪 伊朗 一行 前往 交流 高速 北方 公司 伊朗 2016 應中國 路橋 總經理 周駿 德黑蘭 TBM 項目 拜訪 中國路橋 人員 二期 陪同 一行 前往 交流 高速 北方 工作 公司,13.0,21.0,0
1560,利比亞交通地圖 - 公交綫路,"提供非洲利比亞交通地圖在綫查詢.  上海振華港口機械(集團)股份有限公司近日接控股股東中國交通建設股份有限公司(下稱:中國交建)通知,中國交建欲與公司籌劃非",利比 地圖 公交 交通 中國 交建 利比 地圖 振華 機械 集團 股東 建設 下稱 籌劃 交通 有限公司 股份 港口 非洲 控股 通知 近日 提供 上海 公司,4.0,22.0,0
1561,中國跨國企業穩步成長,"中國交通建設股份有限公司. 建築. 1,162. 14. 深業（集團）有限  07.01.15. 中國石油天然氣集團公司. South Pars 氣田. 煤，原油，天然氣. 伊朗. 100. 3，600. 07.05.21.",中國 跨國 企業 穩步 成長 中國 天然 建設 建築 162 14 深業 集團 07.01 15 氣集團 South Pars 氣田 100 600 07.05 21 伊朗 原油 有限 交通 石油 有限公司 股份 公司,5.0,26.0,0
1562,楊踴 - 法語JOB:法語人纔招聘求職,2008.5-2011.11：中國交通建設集團第一公路工程局（即原中國路橋公路一局），曆任布隆迪、中非兼乍得、尼日爾兼布吉納法索等國國傢經理。中交集團是中國最大,法語 JOB 求職 招聘 中國 公路 2008.5 2011.11 建設 集團 即原 中國路橋 尼日爾 兼布吉納 法索 國國 經理 團是 交集 工程局 布隆迪 一局 乍得 中非 交通 第一 最大,4.0,23.0,3
1563,中國鐵建尼日利亞83億美元超級工程12年終落地_米奧蘭特跨境貿易 ,2006年，中非閤作論壇北京峰會召開前夕，中國鐵建與尼日利亞政府部門  目前中國企業在建的最大金額海外工程紀錄被中國交通建設股份有限公司（以下,中國 鐵建尼日 利亞 83 超級 12 年終 奧蘭特 貿易 跨境 落地 工程 美元 中國 2006 作論壇 峰會 召開 鐵建 日利亞 部門 企業 金額 紀錄 建設 中非 在建 前夕 交通 海外 工程 有限公司 以下 股份 北京 政府 最大 目前,13.0,25.0,0
1564,招聘信息| 中交四航局第三工程有限公司招聘 - 海南大學,2017年 -  強企業中國交通建設股份有限公司旗下的中交四航局的全資子公司。  鯨灣集裝箱碼頭擴建工程、納米比亞油碼頭工程、科特迪瓦阿比讓擴建,招聘 中交四 航局 大學 海南 第三 工程 信息 有限公司 碼頭 擴建 2017 強企業 中國 建設 交四航局 全資 鯨灣 集裝箱 納米 比亞油 阿比 工程 科特迪瓦 子公司 旗下 交通 有限公司 股份,9.0,20.0,0
1565,海外網為“中企在非洲”點贊-中非閤作網 - 中非工業閤作發展論壇,緊隨國傢主席習近平的腳步，伴隨中非閤作論壇的召開，2015年，由人民  石油天然氣集團公司、中國電力建設集團有限公司、中國交通建設集團有限公司,中非 網為 點贊 作網 工業 發展 論壇 中企 非洲 海外 中國 建設 集團 隨國 習近 腳步 作論壇 召開 2015 氣集團 電力 有限公司 中非 天然 交通 主席 石油 人民 公司,10.0,19.0,0
1566,承壓含水層中非完整井附近“非達西-達西” 兩區滲流模型近似  - 地球科學,"2015年 - 中國交通建設股份有限公司第二公路勘察設計研究院有限公司,湖北武漢  壓含水層中非完整井附近“非達西一達西”兩區滲流模型,即距離抽水井較近",承壓 非達西 達西 兩區 滲流 科學 含水 中非 近似 模型 完整 地球 附近 2015 中國 建設 設計 武漢 非達西 一達西 兩區 滲流 距離 較近 有限公司 含水 中非 水井 勘察 研究院 模型 湖北 完整 公路 交通 第二 附近 股份,13.0,25.0,0
1567,中國挖泥船幫助巴西港口順暢運營_信德海事網-專業海事信息谘詢服務 ,2018年 - 去年4月，中國交通建設集團上海航道局有限公司（簡稱中交上航）開始接手伊塔雅伊港緊急疏浚項目。中國設計建造的自航耙吸式挖泥船“新海牛”和“,海事 挖泥船 中國 幫助 順暢 運營 專業 詢服務 信德 巴西 港口 信息 中國 挖泥船 2018 建設 集團 航道局 簡稱 開始 雅伊港 緊急 項目 設計 自航 吸式 伊塔 海牛 交上 疏浚 接手 建造 交通 去年 有限公司 上海,12.0,24.0,0
1568,全球建築業發展趨勢(2016年7月) - EY,伊朗製裁解除後，伊朗石油可在國際市場上交易，這將成為沙特的主要憂慮。 生産迴岸. 新興經濟體中  中國交通建設股份有限公司收購瞭澳. 大利亞最大的建築業,建築業 發展 趨勢 2016 EY 全球 伊朗 國際 市場 這將 成為 憂慮 新興 經濟體 中國 建設 收購 瞭澳 建築業 大利 沙特 解除 交通 石油 有限公司 交易 股份 最大 主要,6.0,23.0,0
1569,厚植中非友誼續寫閤作新篇——寫在習近平主席提齣對非真實親誠理念 ,2018年 - 2013年3月，習近平擔任國傢主席後首訪非洲，首次提齣真實親誠對非政策理念和正確義利觀，為新時期中非關係發展指明方嚮。 5年來，中非真誠,厚植 友誼續 習近 非真 實親 新篇 中非 理念 主席 中非 2018 2013 習近 平擔 任國 首訪 真實 親誠對 確義利觀 時期 發展 年來 指明 理念 非洲 主席 首次 政策,9.0,19.0,0
1570,緬甸通信基礎設施建設工程Ⅰ期2-1項目順利竣工 - 中國電力建設集團,"2016年 - ，緬甸光縴通信網絡有限公司（簡稱MFOCN）為緬甸通信基礎設施建設工程項目Ⅰ期2-1項目簽發瞭最終驗收證書（FAC）,標誌著本項目全部",建設 緬甸 基礎 設施 項目 順利 中國 電力 集團 竣工 通信 工程 項目 通信 2016 緬甸光 網絡 簡稱 MFOCN 緬甸 基礎 設施 建設 簽發 終驗 收證書 FAC 標誌 著本 工程 有限公司 全部,12.0,20.0,11
1571,行業新聞- 新聞資訊- 中交海洋建設開發有限公司, 由香港振華工程有限公司、中國交通建設股份有限公司和中交疏浚（集團）有限公司  緬甸高層訪華：推進能源項目閤作與油氣設備采購近日，中緬雙方政府高層互動,新聞 行業 資訊 中交 建設 開發 海洋 有限公司 高層 有限公司 振華 中國 建設 中交 集團 緬甸 訪華 推進 項目 油氣 設備 采購 雙方 互動 疏浚 能源 交通 近日 香港 工程 股份 政府,8.0,24.0,0
1572,劉念君一行到科特迪瓦調研考察-中交廣州航道局有限公司,2018年 - -19日，公司副總經理劉念君、公司總經理助理兼海洋分公司總經理周曾權到科特迪瓦阿比讓項目部調研考察，非洲分公司總經理周欲烈等,劉念君 調研 中交廣州 航道局 科特迪瓦 一行 考察 有限公司 總經理 分公司 目部 2018 19 劉念君 權到 阿比 調研 周欲烈 科特迪瓦 助理 公司 海洋 非洲 考察,8.0,16.0,0
1573,中國交通建設股份有限公司- 機構庫- 企業社會責任機構指南,中國交通建設股份有限公司（以下簡稱中交股份）成立於2006年，是經國務院  為認真落實鬍錦濤主席提齣的“推動中非新型戰略夥伴關係新措施”的要求，中國,機構 中國 建設 企業 社會責任 指南 交通 有限公司 股份 中國 建設 簡稱 中交 2006 經國務院 認真落 推動 戰略夥 伴關 股份 中非 新型 交通 主席 措施 有限公司 以下 成立 要求,9.0,20.0,23
1574,三公局黨委書記、董事 - 中國交通建設股份有限公司東北區域總部,2018年 - 他指齣，隨著朝韓關係的緩和，美國對朝鮮製裁的減輕乃至解除，東北區域很有可能成為開發的熱土，並簡要介紹瞭總部正在跟蹤的相關重點項目。,局黨 委書記 中國 建設 東北區域 總部 三公 董事 交通 有限公司 股份 2018 隨著朝 韓關 美國 東北區域 成為 開發 熱土 並簡要 介紹 瞭總部 解除 乃至 正在 可能,11.0,15.0,0
1575,緬甸工程-山東新港模闆工程技術股份有限公司,施工地點：緬甸使用産品：颱模、柱模、夾具  緬甸工程. 發布時間：2015/4/16 10:15:53. 施工地點：緬甸 使用産品：颱模、柱模、夾具. 上一篇：※ 印尼工程. 下一篇：※,緬甸 山東 技術 工程 新港 有限公司 股份 緬甸 地點 柱模 夾具 一篇 施工 發布 時間 2015 16 10 15 53 工程 使用 印尼,7.0,16.0,0
1576,與緬甸智庫學者談中緬關係- 熱點評論- 胞波網,2018年 - 就像我們緬甸其他熱血青年一樣，五年十年前，我是十分'反德祐（反華）'的！ . 就是CCCC（中國交通建設公司），仰光省長與中國該公司簽訂協議！,緬甸智庫 學者 談中 緬關 熱點 評論 胞波 反德 2018 我們 緬甸 熱血 一樣 反華 CCCC 中國 建設 省長 中國該 簽訂 協議 仰光 公司 五年 十年 青年 交通 十分 其他 就是,7.0,23.0,0
1577,商業與經濟- 紐約時報中文網國際縱覽,上個月，位於中國丹東、靠近朝鮮邊境的一棟豪華公寓  加拿大政府以保護國傢安全為由，阻止瞭中國交通建設集團的海外子公司收購該國建築商愛康的交易。,商業 經濟 紐約 時報 網國際 縱覽 中文 上個 中國丹東 朝鮮 邊境 一棟 豪華 保護國 瞭中國 建設 集團 收購 國建築 商愛康 加拿大政府 公寓 靠近 阻止 子公司 交通 海外 安全 交易,7.0,22.0,0
1578,緬甸密鬆水電站被叫停 - 學識網,"1 - 緬甸密鬆水電站被叫停,據聯閤早報報道，馬來西亞政府突然下令東海岸  據悉，全長688公裏的馬來西亞東鐵工程由中國交通建設公司(CCCC、中國",緬甸 學識網 叫停 西亞 中國 緬甸 據聯 早報 報道 據悉 全長 688 東鐵 建設 CCCC 叫停 海岸 下令 交通 工程 突然 政府 公司,3.0,20.0,0
1579,商會組織會員企業參加“一帶一路”國際産能閤作座談會 - 江蘇省進齣口商會,2018年 - 中國交通建設集團（中交産投）總經理助理尹軼立重點介紹瞭中國交建在緬甸投資建設的仰光新城項目，建華建材集團國際事業部副總經理郭強與參,商會 組織 會員 企業 參加 一帶 國際 作座 談會 江蘇省 一路 建設 集團 總經理 2018 中國 中交 尹軼立 重點 介紹 瞭中國 交建 緬甸 投資 項目 建華 國際 事業 郭強 仰光 部副 新城 助理 建材 交通,11.0,24.0,0
1580,公司概況 - 中交鐵道設計研究總院有限公司官網, 是世界500強企業——中國交通建設股份有限公司（簡稱中國交建）的二級子公司。  馬來西亞東部鐵路，以及莫桑比剋、剛果（布）等20多個國傢的鐵路勘察、設計及,概況 中交鐵道 設計 總院 官網 有限公司 研究 公司 中國 鐵路 500 強企業 建設 簡稱 交建 二級 西亞 東部 莫桑比 剛果 20 多個國 設計及 勘察 子公司 交通 有限公司 股份 世界 以及,8.0,22.0,0
1581,職位：中交隧道工程局有限公司鐵路運營分公司招聘公告- 人纔招聘- 中交 ,應聘要求： 中交隧道工程局有限公司，是世界500強——中國交通建設集團所屬全資子  肯尼亞濛內鐵路是中非區域深度閤作共同建設非洲高速鐵路、高速公路和區域,中交 招聘 職位 鐵路 運營 工程局 分公司 隧道 公告 有限公司 建設 區域 肯尼 應聘 中交 500 中國 集團 所屬 全資子 亞濛 內鐵路 閤作 鐵路 工程局 中非 隧道 高速公路 深度 高速 非洲 交通 共同 有限公司 要求 世界,10.0,26.0,3
1582,馬來西亞叫停馬東鐵路中國交建錶示遺憾_公司頻道_財新網,recent - 【財新網】（記者張而弛）馬來西亞的政局變化影響瞭中國在當地的一個超級工程——馬東鐵路。，中國交通建設股份有限公司（下稱中國交建，,西亞 東鐵路 中國 交建 遺憾 頻道 財新網 叫停 公司 中國 recent 財新網 記者 張而弛 西亞 變化 影響 瞭中國 當地 一個 超級 東鐵路 建設 下稱 交建 政局 交通 工程 有限公司 股份,9.0,21.0,0
1583,法能源巨頭道達爾與中國交建簽署互為優先供應商協議-國際石油網, - 法國能源巨頭道達爾公司與中國交通建設股份有限公司(簡稱“中國交建”)9日在巴黎簽署雙方互為優先供應商的閤作協議，共同拓展雙方在基建領域的,巨頭 達爾 中國 交建 簽署 互為 優先供 應商 協議 國際 能源 石油 中國 雙方 法國 巨頭 達爾 建設 簡稱 交建 簽署 互為 優先供 應商 作協議 領域 基建 拓展 巴黎 能源 交通 共同 有限公司 股份 公司,12.0,23.0,7
1585,“東鐵”遭馬國喊卡馬哈蒂爾排訪華| 德國之聲來自德國介紹德國| DW ,recent - 東鐵由中國交通建設有限公司負責，輸油管工程由中國石油與天然氣公司  他隨後會轉赴中日韓首腦會談，北韓核問題以外，也聚焦李剋強任內首次,哈蒂 東鐵 遭馬國 卡馬 爾排 訪華 德國 之聲 自德國 介紹德國 DW 中國 recent 東鐵 建設 負責 隨後會 轉赴 韓首 腦會 北韓核 問題 強任 油管 聚焦 中日 天然 以外 交通 石油 工程 首次 有限公司 公司,11.0,23.0,0
1587,今天截至上午收市主闆之證券賣空成交量-4 - 華富財經Quamnet.com ,"1 - 01800 中國交通建設1,419,000 10,369,340 372. 01803 北京體育文化7,500 20,275 373. 01810 小米集團－W 5,447,000 105,656,964 374.",證券 賣空 華富 財經 Quamnet com 收市 成交量 上午 截至 今天 000 01800 中國 建設 419 10 369 340 372 01803 體育 500 20 275 373 01810 集團 447 105 656 964 374 小米 交通 文化 北京,11.0,26.0,0
1588,多盈娛樂 - 中國曆史, - 李源潮說，中非閤作論壇約堡峰會去年成功召開，開啓瞭中非閤作共贏、共同  據介紹，中國鐵建重工、中國交通建設集團有限公司、中車集團、正泰、,多盈 娛樂 中國 中國 集團 中非 作論壇 堡峰會 召開 作共贏 據介紹 鐵建 建設 中車 正泰 李源潮 重工 交通 去年 共同 成功 有限公司,3.0,19.0,10
1590,疏浚港口，中企為“黑海明珠所以說分紅如果是保持不變的話，”(責編：增 , - 在歐洲四大疏浚公司參與競標的情況下，中國交通建設股份有限公司旗下的中國港灣工程有限責任公司，憑藉技術和價格優勢擊敗對手，成為項目的,分紅 不變 責編 中企 疏浚 黑海 明珠 港口 保持 所以 如果 中國 歐洲 參與 競標 情況 建設 港灣 責任 技術 價格 優勢 擊敗 成為 疏浚 公司 四大 旗下 有限 交通 工程 目的 有限公司 股份,11.0,23.0,45
1591,百傢樂試玩·華宇代理_二手房,1 -  公司，重組後中國長城計算機集團公司撤銷；中國港灣建設(集團)總公司與中國路橋(集團)總公司以新設閤並方式組建“中國交通建設集團有限公司”,樂試 華宇 二手房 代理 集團 中國 建設 公司 重組後中 國長 城計算機 撤銷 港灣 中國路橋 以新設 閤並 組建 交通 有限公司 方式,4.0,16.0,46
1592,疏浚港口，中企為“黑海明新年伊始，珠”增光再配閤外用藥物（彩封開縣申 , - 在歐洲四大疏浚公司參與競標的情況下，中國交通建設股份有限公司旗下的中國港灣工程有限責任公司，憑藉技術和價格優勢擊敗對手，成為項目的,新年伊始 藥物 彩封 開縣 中企 增光 再配 外用 疏浚 黑海 港口 中國 歐洲 參與 競標 情況 建設 港灣 責任 技術 價格 優勢 擊敗 成為 疏浚 公司 四大 旗下 有限 交通 工程 目的 有限公司 股份,11.0,23.0,45
1593,澳門美高梅注冊·華宇平颱_秀東,1 -  公司，重組後中國長城計算機集團公司撤銷；中國港灣建設(集團)總公司與中國路橋(集團)總公司以新設閤並方式組建“中國交通建設集團有限公司”,澳門 美高梅 注冊 華宇平 秀東 集團 中國 建設 公司 重組後中 國長 城計算機 撤銷 港灣 中國路橋 以新設 閤並 組建 交通 有限公司 方式,5.0,16.0,46
1595,天津日報數字報-新河西 - 天津日報- 天津網,"1 - 最後一名失聯乘客遺體找到. ·, 特普會前歐洲盟友勸告“分清敵我”. ·, 聯閤國高官稱將加大對朝鮮人道主義援助. ·, 不到4小時！ 俄創太空“快遞”紀錄.",日報 天津 數字報 河西 失聯 遺體 特普會 歐洲 勸告 閤國 稱將 對朝 鮮人道 主義 小時 俄創 快遞 紀錄 分清 盟友 高官 太空 乘客 援助 一名 加大 找到 不到,4.0,24.0,0
1596,習近平將對阿聯酋、塞內加爾、盧旺達和南非進行國事訪問，齣席金磚 , - 習近平會見塞內加爾總統薩勒 · 習近平同南非總統祖馬共同主持中非閤作論壇約翰內斯堡峰會全體會 · 習近平夫婦齣席南非“中國年”閉幕式文藝演齣,習近 平將 阿聯酋 塞內 加爾 盧旺達 進行 國事 訪問 金磚 南非 習近 總統 南非 平會 見塞內 加爾 薩勒 平同 祖馬 作論壇 翰內斯堡 峰會 全體 平夫婦 中國 閉幕式 文藝演 中非 主持 共同,11.0,20.0,0
1597,八大真人視訊平颱_www.0579818.com, -  一企業傢老大”理念，主動對接中國交通建設股份有限公司，為企業落戶天津  估價超過5000萬美元俄外長:俄尊重伊拉剋領土完整籲對話解決問題,視訊平 www.0579818 com 真人 八大 一企業 主動 接中國 建設 企業 落戶 估價 超過 5000 俄外長 領土 籲對 解決 問題 伊拉 老大 尊重 理念 完整 天津 交通 有限公司 美元 股份,5.0,24.0,0
1598,500萬彩票網何時開賣_www.0579818.com, - 北京時間，中國男籃藍隊在熱身賽裏以84-73戰勝老冤傢伊朗，取得  人民網天津電昨天，天津市河西區人民政府與中國交通建設,500 網何 開賣 www.0579818 com 彩票 中國 時間 男籃 藍隊 熱身賽 84 73 戰勝 建設 天津市 河西 人民政府 伊朗 天津 交通 昨天 取得 人民 北京,6.0,19.0,0
1599,外籍相關JK平颱注冊,布隆迪《新生報》文章：原標題：中國是非洲的戰略夥伴還是殖民者？中非智庫論壇第七屆會議的與會者對此問題做齣瞭迴答。近年來，一些西方國傢通過媒體,相關 JK 注冊 外籍 原標題 中國 戰略夥伴 還是 智庫 論壇 屆會議 會者 問題 通過 媒體 布隆迪 中非 第七 殖民者 新生 近年 文章 非洲 西方 一些,4.0,21.0,0
1600,砥礪前行：24連勝就此結束比利時0-1敗北法國_易悅網,2 - 伊朗油罐車撞上正在上客的大巴車，已緻13人死 · “全入時代”的日本高考  勁勝智能盤中跌停 · 中國交通建設2018年度新增投資項目閤同額,24 連勝 結束 敗北法國 易悅網 比利 前行 就此 上客 車撞 13 人死 全入 時代 勁勝 盤中 中國 建設 2018 投資 項目 同額 大巴 油罐 高考 伊朗 智能 跌停 年度 新增 交通 日本 正在,8.0,25.0,0
1601,中國企業透明度最差交建公司賄賂外國總統| 中國交通建設| 腐敗| 透明 ,2016年 - 透明國際一份新的調查顯示，大多數位於新興市場的公司都在幫助腐敗生長，透明度低，其中中國公司的分數是最差的。,中國 企業 交建 賄賂 外國 總統 建設 腐敗 最差 透明度 透明 交通 公司 2016 國際 調查 顯示 數位 新興 市場 幫助 腐敗 生長 中國 分數 最差 透明度 透明 公司 一份 大多 其中,13.0,19.0,0
1602,參與海外腐敗中國交建等多傢國企上瞭世行“黑名單”_綜閤_産經頻道首頁 ,"2015年 - 記者看到,這份“黑名單”中包括大慶油田路橋工程有限責任公司、中國交通建設股份有限公司、中國地質工程集團公司、中國建築股份有限公司等多傢",參與 腐敗 中國 交建 國企上 黑名 經頻 首頁 世行 海外 中國 2015 記者 這份 黑名 大慶 路橋 責任 建設 地質 集團 建築 工程 有限公司 股份 油田 公司 有限 交通 看到 包括,10.0,21.0,4
